bhk,type,area,region,status,age,final_price_lakhs
3,0,6.530877627725885,206,0,0,250.0
2,0,6.46302945692067,29,1,0,52.51
2,0,6.415096959171596,153,1,0,173.0
2,0,6.776506992372183,47,1,0,59.98
2,0,6.492239835020471,21,1,0,94.11
2,0,6.717804695023691,48,1,0,330.0
5,4,7.980023592310645,149,1,0,199.0
3,0,6.658011045870748,62,1,0,289.0
1,0,5.983936280687191,57,0,0,29.84
2,0,6.51025834052315,175,1,0,272.0
1,3,6.220590170099739,68,1,0,16.56
2,0,6.85751406254539,221,1,0,41.75
3,0,6.625392368007956,156,1,0,177.0
2,0,6.406879986069314,193,1,0,155.0
1,0,6.324358962381311,119,1,0,58.5
2,0,6.455198563340122,198,1,0,83.0
1,0,6.111467339502679,54,1,0,139.0
3,0,7.138866999945524,179,0,0,280.0
2,0,6.320768294250582,106,1,0,142.0
3,0,7.150701457592526,206,1,0,420.0
2,0,6.368187186350492,128,1,0,149.0
1,0,6.182084906716632,147,1,0,37.52
1,0,5.771441123130016,156,1,0,69.9
1,0,5.983936280687191,106,1,0,42.99
2,0,6.459904454377535,112,1,0,126.0
2,0,6.954638864880987,173,1,0,49.58
2,0,6.985641817639208,147,0,0,57.24
2,0,6.320768294250582,152,1,0,131.0
1,0,5.568344503761097,47,1,0,47.5
2,0,6.38856140554563,173,0,0,34.5
1,0,6.100318952020064,132,1,0,34.14
1,0,6.016157159698354,47,1,0,32.0
4,0,7.536363938404511,219,1,0,270.0
1,0,6.111467339502679,110,1,0,54.99
3,0,6.756932389247553,47,1,0,137.0
2,0,6.580639137284949,106,1,0,131.0
1,0,6.003887067106539,204,1,0,58.0
2,0,6.405228458030842,192,1,0,144.0
3,0,7.018401799069201,25,1,0,285.0
1,1,6.553933404025811,42,1,0,30.99
3,0,6.805722553416985,187,1,0,259.0
2,0,6.898714534329988,102,1,0,45.45
1,0,5.749392985908253,59,1,0,27.56
1,0,6.016157159698354,106,1,0,30.15
2,0,6.329720905522696,25,1,0,132.0
1,0,6.1070228877422545,180,1,0,134.0
1,0,5.958424693029782,102,0,0,27.96
2,0,6.29156913955832,109,1,0,46.21
3,0,7.3938782901077555,110,0,0,145.0
3,0,6.530877627725885,206,0,0,250.0
2,0,6.46302945692067,29,1,0,52.51
2,0,6.415096959171596,153,1,0,173.0
2,0,6.776506992372183,47,1,0,59.98
2,0,6.492239835020471,21,1,0,94.11
2,0,6.717804695023691,48,1,0,330.0
5,4,7.980023592310645,149,1,0,199.0
3,0,6.658011045870748,62,1,0,289.0
1,0,5.983936280687191,57,0,0,29.84
2,0,6.606650186198215,175,1,0,295.0
1,0,6.455198563340122,68,1,0,20.95
2,0,6.85751406254539,221,1,0,41.75
3,0,6.625392368007956,156,1,0,177.0
2,0,6.406879986069314,193,1,0,155.0
1,0,6.169610732491456,119,1,0,51.0
2,0,6.455198563340122,198,1,0,83.0
1,0,6.111467339502679,54,1,0,139.0
3,0,7.138866999945524,179,0,0,280.0
2,0,6.246106765481563,106,1,0,124.0
3,0,7.150701457592526,206,1,0,420.0
2,0,6.368187186350492,128,1,0,149.0
2,0,6.580639137284949,147,1,0,57.07
1,0,5.771441123130016,156,1,0,69.9
1,0,5.983936280687191,106,1,0,42.99
1,0,6.144185634125646,112,1,0,90.0
2,0,6.954638864880987,173,1,0,49.58
2,0,6.985641817639208,147,0,0,57.24
2,0,6.320768294250582,152,1,0,131.0
1,0,5.568344503761097,47,1,0,47.49
2,0,6.270988431858299,173,0,0,31.5
2,0,6.375024819828097,132,1,0,45.03
2,0,6.335054251498059,47,1,0,42.0
2,0,6.898714534329988,219,1,0,151.0
2,0,6.565264970035361,47,1,0,114.0
4,0,7.170888478512505,106,1,0,254.0
2,0,6.444131256700441,204,1,0,90.0
2,0,6.376726947898627,192,1,0,140.0
3,0,6.963189985870238,25,1,0,245.00000000000003
1,1,6.553933404025811,42,1,0,30.99
3,0,6.805722553416985,187,1,0,259.0
1,0,6.54534966033442,102,1,0,31.8
1,0,5.749392985908253,59,1,0,27.56
1,3,5.602118820879701,106,1,0,20.39
2,0,6.439350371100098,25,1,0,147.0
2,0,6.461468176353717,180,1,0,191.0
2,0,6.421622267806518,102,0,0,44.44
1,0,5.902633333401366,109,1,0,29.02
1,0,6.621405651764134,110,1,0,57.0
1,0,6.054439346269371,29,1,0,33.49
3,0,6.740519359606223,153,1,0,235.0
1,0,6.161207321695077,21,1,0,69.65
1,0,6.054439346269371,29,1,0,33.49
2,0,6.428105272684596,29,1,0,50.5
2,0,6.428105272684596,29,1,0,50.5
1,0,6.066108090103747,29,1,0,34.91
1,0,6.066108090103747,29,1,0,34.91
3,0,6.740519359606223,153,1,0,235.0
2,0,6.415096959171596,153,1,0,173.0
2,0,6.415096959171596,153,1,0,173.0
3,0,6.740519359606223,153,1,0,235.0
3,0,6.740519359606223,153,1,0,235.0
1,0,6.054439346269371,170,1,0,36.0
1,0,6.054439346269371,170,1,0,36.0
2,0,6.480044561926653,170,1,0,56.0
2,0,6.480044561926653,170,1,0,56.0
1,0,6.054439346269371,170,1,0,36.0
1,0,6.054439346269371,170,1,0,36.0
2,0,6.480044561926653,170,1,0,56.0
2,0,6.480044561926653,170,1,0,56.0
1,0,6.161207321695077,21,1,0,69.65
3,0,6.853299093186078,21,1,0,138.0
3,0,6.853299093186078,21,1,0,138.0
2,0,6.504288173536645,21,1,0,94.99
2,0,6.504288173536645,21,1,0,94.99
2,0,6.52649485957079,21,1,0,97.14
2,0,6.52649485957079,21,1,0,97.14
3,0,7.033506484287697,48,1,0,479.0
3,0,7.033506484287697,48,1,0,479.0
3,4,7.690743163541872,149,1,0,149.0
3,4,7.690743163541872,149,1,0,149.0
2,0,6.363028103540465,62,1,0,181.0
2,0,6.363028103540465,62,1,0,181.0
2,0,6.18826412308259,57,0,0,36.0
2,0,6.18826412308259,57,0,0,36.0
1,0,5.8916442118257715,57,0,0,28.0
1,0,5.8916442118257715,57,0,0,28.0
1,0,5.934894195619588,57,0,0,28.2
1,0,5.934894195619588,57,0,0,28.2
1,0,5.948034989180646,57,0,0,28.61
1,0,5.948034989180646,57,0,0,28.61
1,0,6.284134161070802,68,1,0,17.65
1,0,6.338594078203183,68,1,0,18.64
1,3,5.942799375126701,68,1,0,13.68
1,0,5.846438775057725,68,0,0,19.91
1,0,5.8664680569332965,68,0,0,20.5
1,0,5.68697535633982,68,0,0,16.0
1,0,5.905361848054571,68,0,0,21.28
1,0,5.811140992976701,68,0,0,19.33
1,0,5.883322388488279,68,0,0,20.89
1,0,5.921578419643816,68,0,0,21.67
1,0,5.942799375126701,68,0,0,22.06
1,0,6.516193076042964,221,1,0,30.0
1,0,6.516193076042964,221,1,0,30.0
2,0,6.878326468291325,221,1,0,42.75
2,0,6.878326468291325,221,1,0,42.75
1,0,6.406879986069314,221,1,0,26.5
1,0,6.406879986069314,221,1,0,26.5
1,0,6.320768294250582,221,1,0,24.0
1,0,6.320768294250582,221,1,0,24.0
1,0,6.501289670540389,221,1,0,29.5
1,0,6.501289670540389,221,1,0,29.5
1,0,6.423246963533519,221,1,0,27.0
1,0,6.423246963533519,221,1,0,27.0
2,0,6.883462586413092,221,1,0,43.0
2,0,6.883462586413092,221,1,0,43.0
1,0,6.284134161070802,221,1,0,22.0
1,0,6.284134161070802,221,1,0,22.0
1,0,6.302618975744905,221,1,0,23.5
1,0,6.302618975744905,221,1,0,23.5
2,0,6.836259277277067,221,1,0,41.0
2,0,6.836259277277067,221,1,0,41.0
1,0,6.338594078203183,221,1,0,24.5
1,0,6.338594078203183,221,1,0,24.5
2,0,6.298949246855942,156,1,0,128.0
2,0,6.298949246855942,156,1,0,128.0
2,0,6.756932389247553,156,1,0,202.0
2,0,6.756932389247553,156,1,0,202.0
2,0,6.3818160174060985,156,1,0,139.0
2,0,6.3818160174060985,156,1,0,139.0
1,0,6.066108090103747,156,1,0,101.0
1,0,6.066108090103747,156,1,0,101.0
2,0,6.559615237493242,156,1,0,166.0
2,0,6.559615237493242,156,1,0,166.0
1,0,6.045005314036012,156,1,0,99.0
1,0,6.045005314036012,156,1,0,99.0
2,0,6.415096959171596,193,1,0,156.0
2,0,6.415096959171596,193,1,0,156.0
2,0,6.5638555265321274,119,1,0,74.62
2,0,6.539585955617669,119,1,0,72.81
2,0,6.721425700790643,119,1,0,87.21
2,0,6.523562306149512,119,1,0,71.01
2,0,6.54534966033442,119,1,0,73.21
2,0,6.620073206530356,119,1,0,79.89
3,0,6.922643891475888,119,1,0,106.0
1,0,6.135564891081739,47,1,0,38.0
1,0,6.135564891081739,47,1,0,38.0
